;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Mooiland;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Celesta;Week: ;December, 2015;;;;;
Adres: ;;Raadsingel 1, Boxmeer;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
190;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
190;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
191;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
191;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
192;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
192;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
193;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
193;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
194;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
194;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
195;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
195;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
196;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
196;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
197;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
197;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
198;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
198;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
199;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
199;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
200;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
200;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
201;3e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
201;3e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
211;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
211;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
212;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
212;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
213;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
213;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
214;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
214;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
215;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
215;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
216;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
216;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
217;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
217;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
218;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
218;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
219;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
219;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
220;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
220;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
221;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
221;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
222;4e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
222;4e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
1;BG;Hydrofoor Ruimte;Voeding KW;EA;In Hydrofoorruimte;a;ø35;Knel;
2;BG;Hydrofoor Ruimte;Voeding KW;EA;In Hydrofoorruimte;a;ø35 ;CAP;
3;BG;Hydrofoor Ruimte;Voeding BSH;EA;In Hydrofoorruimte;a;ø35 ;CAP;
Keerklep:;;Opmerking:;;;;;;;
;;CV Vulkraan CA klep verplaatsen;;;;;;;
;;;;;;;;;
